##############################
# Data for PCIE_1
# CMD  ADDRESS      DATA
w      08198000168    00000880
w      08199000168    00000880
w      0819a000168    00000880
w      0819b000168    00000880
w      08198c00004    00000000
w      08198c00008    00000000
w      08198d00004    00000000
w      08198d00008    00000000
w      08198e00004    00000000
w      08198e00008    00000000
w      08198f00004    00000000
w      08198f00008    00000000
w      08198c000c4    0007da00
w      08198d000c4    0007da00
w      08198e000c4    0007da00
w      08198f000c4    0007da00
w      081980046bc    00010000
w      081980086bc    00010000
w      0819800c6bc    00010000
w      081980106bc    00010000
w      08199c00004    00000000
w      08199c00008    00000000
w      08199d00004    00000000
w      08199d00008    00000000
w      08199e00004    00000000
w      08199e00008    00000000
w      08199f00004    00000000
w      08199f00008    00000000
w      08199c000c4    0007da00
w      08199d000c4    0007da00
w      08199e000c4    0007da00
w      08199f000c4    0007da00
w      081990046bc    00010000
w      081990086bc    00010000
w      0819900c6bc    00010000
w      081990106bc    00010000
w      0819ac00004    00000000
w      0819ac00008    00000000
w      0819ad00004    00000000
w      0819ad00008    00000000
w      0819ae00004    00000000
w      0819ae00008    00000000
w      0819af00004    00000000
w      0819af00008    00000000
w      0819ac000c4    0007da00
w      0819ad000c4    0007da00
w      0819ae000c4    0007da00
w      0819af000c4    0007da00
w      0819bc00004    00000000
w      0819bc00008    00000000
w      0819bd00004    00000000
w      0819bd00008    00000000
w      0819be00004    00000000
w      0819be00008    00000000
w      0819bf00004    00000000
w      0819bf00008    00000000
w      0819bc000c4    0007da00
w      0819bd000c4    0007da00
w      0819be000c4    0007da00
w      0819bf000c4    0007da00
w      0819a0046bc    00010000
w      0819a0086bc    00010000
w      0819a00c6bc    00010000
w      0819a0106bc    00010000
w      0819b0046bc    00010000
w      0819b0086bc    00010000
w      0819b00c6bc    00010000
w      0819b0106bc    00010000
w      08198c00054    01e002f9
w      08198d00054    01e002f9
w      08198e00054    01e002f9
w      08198f00054    01e002f9
w      08199c00054    01e002f9
w      08199d00054    01e002f9
w      08199e00054    01e002f9
w      08199f00054    01e002f9
w      0819ac00054    01e002f9
w      0819ad00054    01e002f9
w      0819ae00054    01e002f9
w      0819af00054    01e002f9
w      0819bc00054    01e002f9
w      0819bd00054    01e002f9
w      0819be00054    01e002f9
w      0819bf00054    01e002f9
w      08191000018    000000d4
w      08198000008    00000005
w      08199000008    00000005
w      0819a000008    00000005
w      0819b000008    00000005
w      0819800000c    0038000c
w      0819900000c    0038000c
w      0819a00000c    0038000c
w      0819b00000c    0038000c
w      08198000010    001a0000
w      08199000010    001a0000
w      0819a000010    001a0000
w      0819b000010    001a0000
w      08198000038    00480024
w      08199000038    00480024
w      0819a000038    00480024
w      0819b000038    00480024
w      0819800003c    00000400
w      0819900003c    00000400
w      0819a00003c    00000400
w      0819b00003c    00000400
w      08198000088    00000000
w      08199000088    00000000
w      0819a000088    00000000
w      0819b000088    00000000
w      0819800008c    3f800000
w      0819900008c    3f800000
w      0819a00008c    3f800000
w      0819b00008c    3f800000
w      08198000094    00002326
w      08199000094    00002326
w      0819a000094    00002326
w      0819b000094    00002326
w      081980000a8    0000000a
w      081990000a8    0000000a
w      0819a0000a8    0000000a
w      0819b0000a8    0000000a
w      081980000b8    00000501
w      081990000b8    00000501
w      0819a0000b8    00000501
w      0819b0000b8    00000501
w      081980000c0    000000c6
w      081990000c0    000000c6
w      0819a0000c0    000000c6
w      0819b0000c0    000000c6
w      081980000d8    00000096
w      081990000d8    00000096
w      0819a0000d8    00000096
w      0819b0000d8    00000096
w      081980000dc    00850082
w      081990000dc    00850082
w      0819a0000dc    00850082
w      0819b0000dc    00850082
w      081980000e0    00820001
w      081990000e0    00820001
w      0819a0000e0    00820001
w      0819b0000e0    00820001
w      081980000e4    00000094
w      081990000e4    00000094
w      0819a0000e4    00000094
w      0819b0000e4    00000094
w      081980000e8    0081007a
w      081990000e8    0081007a
w      0819a0000e8    0081007a
w      0819b0000e8    0081007a
w      081980000ec    00000095
w      081990000ec    00000095
w      0819a0000ec    00000095
w      0819b0000ec    00000095
w      081980000f0    00000097
w      081990000f0    00000097
w      0819a0000f0    00000097
w      0819b0000f0    00000097
w      08198040000    00000011
w      08199040000    00000011
w      0819a040000    00000011
w      0819b040000    00000011
w      08198040150    00000001
w      08199040150    00000001
w      0819a040150    00000001
w      0819b040150    00000001
w      08198040164    00000001
w      08199040164    00000001
w      0819a040164    00000001
w      0819b040164    00000001
w      08198040168    0000000c
w      08199040168    0000000c
w      0819a040168    0000000c
w      0819b040168    0000000c
w      081980401a4    0000000f
w      081990401a4    0000000f
w      0819a0401a4    0000000f
w      0819b0401a4    0000000f
w      081980401b0    00000025
w      081990401b0    00000025
w      0819a0401b0    00000025
w      0819b0401b0    00000025
w      081980401c0    00000060
w      081990401c0    00000060
w      0819a0401c0    00000060
w      0819b0401c0    00000060
w      081980401c4    00000000
w      081990401c4    00000000
w      0819a0401c4    00000000
w      0819b0401c4    00000000
w      081980401cc    00000000
w      081990401cc    00000000
w      0819a0401cc    00000000
w      0819b0401cc    00000000
w      08198040208    00000181
w      08199040208    00000181
w      0819a040208    00000181
w      0819b040208    00000181
w      081980402c4    000e0019
w      081990402c4    000e0019
w      0819a0402c4    000e0019
w      0819b0402c4    000e0019
w      08198040348    00010600
w      08199040348    00010600
w      0819a040348    00010600
w      0819b040348    00010600
w      0819804034c    5933333f
w      0819904034c    5933333f
w      0819a04034c    5933333f
w      0819b04034c    5933333f
w      0819804036c    00070f00
w      0819904036c    00070f00
w      0819a04036c    00070f00
w      0819b04036c    00070f00
w      0819804037c    01ff01ff
w      0819904037c    01ff01ff
w      0819a04037c    01ff01ff
w      0819b04037c    01ff01ff
w      0819804039c    00000000
w      0819904039c    00000000
w      0819a04039c    00000000
w      0819b04039c    00000000
w      081980403b8    00000045
w      081990403b8    00000045
w      0819a0403b8    00000045
w      0819b0403b8    00000045
w      081980403c4    001c0004
w      081990403c4    001c0004
w      0819a0403c4    001c0004
w      0819b0403c4    001c0004
w      081980403cc    003f001e
w      081990403cc    003f001e
w      0819a0403cc    003f001e
w      0819b0403cc    003f001e
w      081980403d0    00000000
w      081990403d0    00000000
w      0819a0403d0    00000000
w      0819b0403d0    00000000
w      081980403e0    000064b0
w      081990403e0    000064b0
w      0819a0403e0    000064b0
w      0819b0403e0    000064b0
w      08198040494    02a6d171
w      08199040494    02a6d171
w      0819a040494    02a6d171
w      0819b040494    02a6d171
w      0819804049c    00083def
w      0819904049c    00083def
w      0819a04049c    00083def
w      0819b04049c    00083def
w      081980404a0    00007004
w      081990404a0    00007004
w      0819a0404a0    00007004
w      0819b0404a0    00007004
w      081980404a8    00af0064
w      081990404a8    00af0064
w      0819a0404a8    00af0064
w      0819b0404a8    00af0064
w      081980404ac    00000000
w      081990404ac    00000000
w      0819a0404ac    00000000
w      0819b0404ac    00000000
w      081980404c0    00000012
w      081990404c0    00000012
